word,count
pacto,3515
adiar,3510
drive,3509
magro,3507
errar,3425
rever,3417
tenso,3374
missa,3332
gasto,3290
jurar,3290
unido,3270
anual,3263
sugar,3260
leito,3196
veado,3195
bicho,3175
etapa,3167
pisar,3167
frito,3166
guiar,3164
pudim,3128
sexto,3127
chapa,3119
casca,3115
brisa,3098
marta,3085
farol,3073
serra,3069
jaula,3046
tropa,3038
tumba,3031
astro,3013
borda,3013
boato,2986
safar,2942
depor,2939
arena,2913
lenha,2902
sonda,2898
secar,2876
fator,2874
freio,2872
norma,2864
bruto,2828
credo,2827
casco,2810
punir,2799
sutil,2795
monge,2795
naval,2781
grade,2775
letal,2760
gozar,2726
armar,2667
trigo,2664
poste,2635
bolha,2620
rival,2613
peste,2609
latim,2594
serio,2592
palma,2589
tosse,2588
supor,2549
danar,2522
judia,2503
rodar,2501
lunar,2498
fruto,2495
medir,2489
pesar,2464
balsa,2456
pinta,2435
macio,2417
fedor,2411
feroz,2411
licor,2368
milha,2355
gerar,2353
fecho,2344
vazar,2340
sarro,2286
ganso,2280
entao,2276
tocha,2261
globo,2256
ladra,2234
palha,2227
fibra,2202
corvo,2198
largo,2183
usina,2179
tango,2175
garfo,2158
apito,2146
golfo,2138
rumor,2131
quilo,2126
cosmo,2108
pilar,2104
afeto,2081
radio,2064
fatia,2056
impor,2053
genro,2042
verso,2041
obvio,2024
judas,2022
arame,2013
apple,1992
galho,1988
manto,1985
prego,1969
surto,1922
capuz,1915
turco,1904
motim,1889
ronda,1884
flora,1884
forca,1870
porca,1866
janta,1862
garra,1855
banca,1847
pombo,1847
meigo,1840
esqui,1829
irado,1826
citar,1824
porte,1805
gabar,1769
lagoa,1767
saque,1762
greta,1762
rampa,1755
vocal,1735
nobel,1730
furar,1723
gueto,1719
menta,1717
sogro,1712
aroma,1699
adega,1696
pleno,1692
tutor,1677
sacar,1674
lente,1661
caber,1656
opera,1613
nervo,1613
clone,1605
cerco,1585
bruxo,1582
vigor,1581
trote,1579
sopro,1578
brega,1572
gesso,1566
salsa,1565
pente,1559
fezes,1553
adaga,1548
polvo,1541
vasto,1522
mania,1509
cisne,1496
imune,1471
viola,1460
libra,1456
cesto,1441
trama,1434
aveia,1425
suado,1422
seita,1420
chico,1410
socar,1409
jarro,1396
assar,1396
ducha,1381
dobre,1380
caldo,1369
cervo,1365
manha,1359
veloz,1358
molde,1347
litro,1346
ruivo,1345
jarra,1342
rapto,1342
orgia,1322
nudez,1319
bacia,1306
rural,1303
penal,1300
canoa,1295
polar,1277
feixe,1276
monta,1227
blefe,1219
valsa,1210
bambu,1209
atras,1203
fluir,1190
bonde,1171
furto,1169
gales,1164
amplo,1163
idoso,1147
hindu,1145
temor,1143
posta,1137
mirar,1109
dueto,1100
fixar,1096
plana,1090
magoa,1090
manta,1080
usual,1077
lazer,1061
zebra,1060
cisco,1058
media,1056
covil,1047
broca,1045
prece,1026
malha,1019
vagar,1015
dardo,1007
congo,1006
rigor,1004
fungo,1003
belga,999
xampu,995
pasto,981
anzol,981
loura,978
mural,976
pomba,976
cetro,975
vespa,973
anexo,966
truta,964
posar,961
bazar,960
brasa,959
fossa,957
ninar,957
titia,952
calda,950
sabre,949
afora,947
remar,946
fosso,938
graxa,930
otimo,925
arder,918
couve,917
canil,916
ronco,912
gorro,907
prado,906
pavor,905
pavio,901
agudo,898
aceso,891
pingo,888
catar,887
gaita,878
cupom,875
verba,873
micro,870
horta,866
lider,864
ileso,859
trave,858
grilo,856
aorta,854
abade,852
atlas,847
nasal,844
cinta,843
casta,841
banjo,841
ostra,839
renal,830
denso,826
suite,824
latir,819
busto,817
azedo,813
saldo,804
limbo,804
nevar,797
facil,795
jejum,794
banal,794
signo,788
potro,785
banha,761
lebre,759
morno,756
grado,751
corno,751
louro,742
chino,741
barca,741
trapo,740
ousar,738
treta,734
tiara,733
ogiva,731
gosma,724
harpa,722
hurra,720
samba,720
gerir,718
ditar,714
viril,710
gruta,709
linho,706
safra,700
murro,698
reter,693
rolha,693
banir,693
hidra,693
gongo,690
perua,689
cobro,686
verbo,686
deque,682
amora,681
lombo,678
pedal,677
prega,676
falir,675
mecha,675
bolar,674
polir,673
copia,672
saida,670
fuzil,668
porre,667
sarar,666
domar,662
picar,659
lesma,658
optar,656
forro,656
babar,650
larva,650
manco,647
repor,646
cuspe,646
chita,639
fobia,638
musgo,634
topar,633
poupa,633
relva,632
lapso,630
prole,629
farda,627
pomar,623
gnomo,614
tique,611
arcar,604
senil,602
vadio,599
talco,599
somar,595
unico,591
liceu,590
lixar,586
cidra,584
sunga,579
boina,578
heroi,573
seiva,571
falho,570
haste,564
totem,562
lotus,559
pulga,557
goela,557
tecla,556
oliva,553
torso,548
tapar,547
pique,546
cetim,542
audio,539
cacto,537
rasto,536
cravo,534
enjoo,532
lerdo,531
moita,529
malte,523
edema,521
touca,517
clero,515
horda,512
pauta,510
animo,510
antro,507
parvo,505
ganga,502
ereto,502
arado,501
laudo,500
donde,498
quota,497
hiena,495
mambo,492
leque,489
canja,488
forum,486
amaro,485
prior,484
recua,484
ebola,483
broto,479
choca,478
pudor,477
funda,471
rasgo,470
pluma,468
bagre,466
bucal,466
capim,465
nivel,464
misto,462
cifra,462
sitio,462
regar,461
magma,459
coice,459
pardo,458
tombo,455
risca,451
foice,449
frear,447
virus,446
aliar,444
agito,438
trevo,436
tanga,435
